x,y,GRID,GID,Lon,Lat
-119.9583351,36.29166719,2722,I02722,-119.958,36.292
-119.9583351,36.37500052,2723,I02723,-119.958,36.375
-119.9583351,36.45833385,2724,I02724,-119.958,36.458
-119.9583351,36.54166718,2725,I02725,-119.958,36.542
-119.9583351,36.62500051,2726,I02726,-119.958,36.625
-119.9583351,36.70833384,2727,I02727,-119.958,36.708
-119.9583351,36.79166717,2728,I02728,-119.958,36.792
-119.9583351,45.62500015,2761,I02761,-119.958,45.625
-119.9583351,45.70833348,2762,I02762,-119.958,45.708
-119.9583351,45.79166681,2763,I02763,-119.958,45.792
-119.9583351,45.87500014,2764,I02764,-119.958,45.875
-119.9583351,46.12500013,2767,I02767,-119.958,46.125
-119.9583351,46.20833346,2768,I02768,-119.958,46.208
-119.9583351,46.29166679,2769,I02769,-119.958,46.292
-119.9583351,46.37500012,2770,I02770,-119.958,46.375
-119.9583351,46.79166677,2773,I02773,-119.958,46.792
-119.9583351,46.8750001,2774,I02774,-119.958,46.875
-119.9583351,47.04166676,2776,I02776,-119.958,47.042
-119.9583351,47.12500009,2777,I02777,-119.958,47.125
-119.9583351,47.20833342,2778,I02778,-119.958,47.208
-119.8750018,35.79166721,2791,I02791,-119.875,35.792
-119.8750018,36.20833386,2796,I02796,-119.875,36.208
-119.8750018,36.29166719,2797,I02797,-119.875,36.292
-119.8750018,36.37500052,2798,I02798,-119.875,36.375
-119.8750018,36.45833385,2799,I02799,-119.875,36.458
-119.8750018,36.54166718,2800,I02800,-119.875,36.542
-119.8750018,36.62500051,2801,I02801,-119.875,36.625
